name,family,provenance,ic_1,icir_1,ic_5,ic_20,ic_decay,n_days,ls_sharpe,fold_sharpes,pval,dsr_prob,turnover,pval_pass,verdict,reason,max_corr,delta_sharpe,delta_maxdd,improves_book
base_tsmom_28,baseline,in-repo alphas.py,-0.005963643181545156,-0.8870116422021915,0.009074257927126328,-0.00929918888622517,0.009074257927126328,1593,-0.5089758383035273,"[-0.6838339249135663, -0.6574381534561643, 0.8250151432611222, -1.2407185550304145]",0.37507263249401346,6.656769601404156e-05,0.020113443089479408,False,REJECTED,failed FDR,,,,False
mom_5,momentum,Qlib Alpha158,-0.04501230595767257,-6.443600853293033,-0.023242524248825714,0.01308647520456173,-0.023242524248825714,1958,-0.42606422687981943,"[0.7677282264895268, -1.5818077857646216, -0.7707113527915366, -2.16169003041743]",1.166715613010183e-10,6.642509957860421e-05,0.0230961638011517,True,REJECTED,negative OOS fold,,,,False
volz_10,volume,Qlib Alpha158,-0.028140627312214134,-4.748597134688028,-0.015098783437664227,0.008384681115539474,-0.015098783437664227,1954,-0.9706675117597692,"[0.5975383052143848, -1.998717625168558, -2.9413717041319534, -2.664521044122419]",2.0483250442460132e-06,6.238461127167083e-05,0.020566454776477724,True,REJECTED,negative OOS fold,,,,False
volofvol_21,volatility,Financial-Models notebooks (concept-mined),0.05359370190416173,7.432099684752406,0.06367137476493778,0.08533400775622435,0.06367137476493778,1939,-0.5543917852042219,"[-1.0830691426175172, 0.6718754528485994, -1.6174351147081572, 0.03378033383717592]",1.0702549957386509e-13,5.112372805948784e-05,0.02158965670439242,True,REJECTED,negative OOS fold,,,,False
mom_vadj_5,momentum,Jansen ML4T,-0.034848831834958495,-5.579356667953663,-0.0129238293906522,0.010714877639290132,-0.0129238293906522,1958,-0.4387406349089381,"[0.23958990999269672, -2.2308184028246925, -0.3858935674543056, -0.9852250806678216]",2.4140977661346597e-08,5.081955018781947e-05,0.021168160221430254,True,REJECTED,negative OOS fold,,,,False
ddown_21,drawdown,TikTok lead (validated as candidate),-0.009610116133994252,-1.3209485916788781,-0.04194417999483382,-0.07413481589892323,-0.04194417999483382,1939,-1.088730205163984,"[-0.17173610855729748, -2.4571725104048454, -0.6704229486351847, -2.695284430081224]",0.18651850605717923,4.9629689929719945e-05,0.022193453280258794,False,REJECTED,failed FDR,,,,False
kbar_upshadow_1,kbar,Qlib Alpha158,0.015056297749461931,2.677654114120298,0.008607586541231511,0.009447035726551341,0.008607586541231511,1963,-1.0983309001415493,"[0.2029942670398664, -2.961774644398148, -1.5426259213556681, -3.9092186386510095]",0.0074139736165306225,4.48286114659302e-05,0.01976075418792048,True,REJECTED,negative OOS fold,,,,False
volz_63,volume,Qlib Alpha158,-0.04335451836785102,-7.170758260770205,-0.01699135607663038,0.008712149349907525,-0.01699135607663038,1901,-0.7105125067380541,"[0.9578978991296418, -2.4165958932811002, -0.9812988617187726, -1.706719458840241]",7.458478279431802e-13,2.8202222149331657e-05,0.01892677060480182,True,REJECTED,negative OOS fold,,,,False
volofvol_63,volatility,Financial-Models notebooks (concept-mined),0.057194188605412415,7.883476769059877,0.074066929649188,0.1003319162670587,0.074066929649188,1897,-0.6202380841206769,"[-1.6680506743099548, 0.41033893331523896, -1.9451400267857397, 0.9737671678787543]",3.1086244689504383e-15,2.6696207139464967e-05,0.019889642991019255,True,REJECTED,negative OOS fold,,,,False
garchgap_21,volatility,Financial-Models notebooks (concept-mined),-0.004834327821209981,-0.8180728909342699,-0.0060935344166570165,-0.005197825715725733,-0.0060935344166570165,1943,-0.4812411254261763,"[-0.9849029457048774, -0.7668817316079951, -0.08706129663647222, 0.1990716126354697]",0.4133155672631972,2.660311316016184e-05,0.0196961256710842,False,REJECTED,failed FDR,,,,False
kbar_upshadow_21,kbar,Qlib Alpha158,0.016362135718667126,2.857090366057947,0.019751226844661872,0.016707103589265356,0.019751226844661872,1943,-0.75480334881107,"[-1.4163035493068687, 0.279530995961759, -1.0214042680593762, -0.7115233012789277]",0.004275440973562583,1.4032774108552193e-05,0.017617816174745244,True,REJECTED,negative OOS fold,,,,False
rev_5,reversal,Qlib Alpha158,0.04501230595767257,6.443600853293033,0.023242524248825714,-0.01308647520456173,0.023242524248825714,1958,-1.364114222266498,"[-1.828338205823543, -1.5849377339665212, -1.7074215674745035, -0.6641970086386122]",1.166715613010183e-10,1.3078517517528532e-05,0.022681219154111802,True,REJECTED,negative OOS fold,,,,False
rev_3,reversal,Qlib Alpha158,0.03572859814437846,5.0290818880468615,0.02155136752993814,-0.015900721920190895,0.02155136752993814,1960,-1.457013073406294,"[-1.2159107549590145, -3.043319069253144, -2.8440524240626277, -0.5523470433088925]",4.928338999121706e-07,6.4019495431555384e-06,0.023052422174396014,True,REJECTED,negative OOS fold,,,,False
stoch_14,oscillator,Jansen ML4T,0.006633321811982859,1.041074529921551,-0.010893895362714153,-0.029182263353527752,-0.010893895362714153,1950,-1.998298962356983,"[-1.4107827472688539, -3.0203839821624574, -3.1037948542912543, -2.6143564206739134]",0.29784095943154765,4.891536031115251e-06,0.020396107905689558,False,REJECTED,failed FDR,,,,False
rsi_dip_2,oscillator,in-repo alphas.py,0.02933879343927771,4.708620319966334,0.011516503504194267,-0.01843717754424714,0.011516503504194267,1962,-1.8992863472113037,"[-1.6429254794499613, -2.4535420955019687, -3.5890270002383207, -1.9228060234395672]",2.4939913254584667e-06,2.679636894376003e-06,0.021277659600953153,True,REJECTED,negative OOS fold,,,,False
base_rsi2,baseline,in-repo alphas.py,0.02933879343927771,4.708620319966334,0.011516503504194267,-0.01843717754424714,0.011516503504194267,1962,-1.8992863472113037,"[-1.6429254794499613, -2.4535420955019687, -3.5890270002383207, -1.9228060234395672]",2.4939913254584667e-06,2.679636894376003e-06,0.021277659600953153,True,REJECTED,negative OOS fold,,,,False
rev_2,reversal,Qlib Alpha158,0.02950525521259516,4.2554061755438095,0.022032480585078926,-0.015082146265728411,0.022032480585078926,1961,-1.6692787101632265,"[-1.2334199651312927, -2.9900116313879295, -3.0663081658120355, -1.203788274568076]",2.0866985536827087e-05,2.5775076463729896e-06,0.022462877597282084,True,REJECTED,negative OOS fold,,,,False
